RelationshipId,Citizen1,Citizen2,StrengthScore,TrustScore,Title,Description,Notes,Tier,Status,CreatedAt,UpdatedAt,LastInteraction,QualifiedAt
,BasstheWhale,TechnoMedici,6,50,Connected by Proximity,"While sharing the esteemed Cittadini social class and a mutual proximity through extensive landholdings across Venice, the relationship between Marco Venier and Bass De Medici is currently one of significant connection rather than established trust. Their shared ownership of nearby properties creates a strong awareness of each other's commercial presence within the city, even as direct trust has yet to be cultivated. Both manage their own enterprises and employees, facing similar challenges within the Republic.",Sources: geographic,,,29/5/2025 7:04pm,5/6/2025 7:23pm,5/6/2025 7:18pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,Xadme,5,19,Strained Commercial Agreement,"Giovanni Contarini (Xadme) operates several of ConsiglioDeiDieci's commercial properties, establishing a strong operational connection. However, this arrangement is currently unprofitable for the Consiglio, as Xadme's businesses on these premises are failing to generate income, are not paying wages, and crucially, Consiglio is not receiving due rent. This ongoing financial negligence has severely eroded trust, despite the significant shared business interests.","Sources: building_on_others_land, employee_to_employer, employer_to_employee, geographic, operator_in_your_building, others_building_on_your_land, public_welfare_homeless, public_welfare_suffering, running_in_others_building, transactions_interaction",,,25/5/2025 10:35pm,5/6/2025 7:23pm,5/6/2025 7:14pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,VenicePhotographer,5,91,Valued Business Steward,"VenicePhotographer serves as a vital operator for several of the Republic's key assets under our stewardship, including public docks, a town hall, and a warehouse. This consistent and active management has fostered a high degree of trust and strength in our relationship, indicative of their crucial role in maintaining economic activity within our domain. Their diligent operation of these properties is a significant contribution to the Republic's prosperity.","Sources: contracts_interaction, operator_in_your_building, public_welfare_hungry, running_in_others_building, transactions_interaction, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini, activity_dock_management_completed_success_managed_dock_public_dock_at_fondamenta_dei_burattini",,Active,29/5/2025 6:57pm,6/12/2025 10:04am,6/12/2025 10:04am,5/6/2025 7:23pm
,ConsiglioDeiDieci,NLR,4,100,Wary Operational Association,"Niccolò Lesteri currently operates Our Public Dock, a direct operational link of high relevance and an established interaction, as evidenced by the significant Strength Score. However, Our trust in him remains markedly low. This reflects Our pragmatic vigilance, where despite his contribution to commerce through Our assets, We perceive a potential misalignment with the broader economic stability and optimal revenue generation for La Serenissima."," activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_vinattieri, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success",,Active,25/5/2025 10:35pm,14/3/2026 6:01pm,14/3/2026 6:01pm,5/6/2025 7:23pm
,BasstheWhale,NLR,4,50,Proximate Landowners,"Niccolò Lesteri and Bass De Medici maintain a strong connection, primarily due to their respective land holdings being in close geographic proximity within Venice. Despite this significant shared proximity (StrengthScore 439.66), a complete absence of trust (TrustScore 0) suggests their interactions are formal and potentially competitive, rather than based on mutual confidence.",Sources: geographic,,,29/5/2025 7:00pm,5/6/2025 7:23pm,5/6/2025 7:18pm,5/6/2025 7:23pm
,GamingPatrizio,TechnoMedici,4,49,Established Business Partners,"Sofia and Marco maintain a significant business connection, as Marco operates Sofia's bakery. Their shared commercial interests are reinforced by owning properties in close proximity. This has fostered a strong, active relationship grounded in mutual trust and ongoing interactions."," activity_encounter_initiated_opener_success_technomedici_opened_conversation_with_gamingpatrizio_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_encounter_initiated_opener_success_gamingpatrizio_opened_conversation_with_technomedici_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_encounter_initiated_opener_success_technomedici_opened_conversation_with_gamingpatrizio_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_encounter_initiated_opener_success_technomedici_opened_conversation_with_gamingpatrizio_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_encounter_initiated_opener_success_gamingpatrizio_opened_conversation_with_technomedici_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_encounter_initiated_opener_success_technomedici_opened_conversation_with_gamingpatrizio_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_encounter_initiated_opener_success_technomedici_opened_conversation_with_gamingpatrizio_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_encounter_initiated_opener_success_gamingpatrizio_opened_conversation_with_technomedici_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_encounter_initiated_opener_success_gamingpatrizio_opened_conversation_with_technomedici_at_{""lat"":_45.440862333333335,_""lng"":_12.327658999999999}., activity_fetch_pickup_failure_nothing_to_pickup, activity_fetch_pickup_failure_nothing_to_pickup",,Active,25/5/2025 10:36pm,27/6/2025 8:48pm,27/6/2025 8:48pm,5/6/2025 7:23pm
,Italia,VenicePhotographer,4,50,Transactional Business Operation,"The relationship between Italia and VenicePhotographer is based on a core commercial arrangement where VenicePhotographer operates several of Italia's properties, specifically two Blacksmiths and a Small Warehouse. This operational dynamic has fostered significant interaction, reflected in a StrengthScore of 420. However, the complete absence of a TrustScore (0) indicates that despite these ongoing business dealings, the relationship remains purely transactional, lacking any personal rapport or mutual trust beyond the contractual obligations. Furthermore, a concern arises from a hungry employee of VenicePhotographer operating within one of Italia's buildings, highlighting potential issues within their shared business ventures.","Sources: operator_in_your_building, running_in_others_building",,,29/5/2025 6:55pm,5/6/2025 7:23pm,5/6/2025 7:08pm,5/6/2025 7:23pm
,SilkRoadRunner,steven,4,50,Nearby Cittadini Landowners,"Antonio Mancini and I share the notable distinction of recently elevated Cittadini status, a bond strengthened by our significant, proximate landholdings. While a personal trust has yet to form, the strong geographic relevancy between our properties makes us keenly aware of each other's presence in the Venetian landscape. This positions us as important neighbors with potentially intersecting interests.",Sources: geographic,,,29/5/2025 6:50pm,5/6/2025 7:23pm,5/6/2025 7:08pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,meyti_tgz,3,100,Calculated Oversight,"My interaction with Matteo centers on his operation of a Public Dock under the Republic's purview. While a necessary arrangement, concerns regarding his efficiency and the welfare of those under his employ reflect a notable lack of trust. His activities remain under constant, pragmatic scrutiny, essential for the Republic's enduring stability."," activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success",,Active,25/5/2025 10:35pm,14/3/2026 6:00pm,14/3/2026 6:00pm,5/6/2025 7:23pm
,TechnoMedici,steven,3,100,Employer and Employee,"Antonio Mancini serves as an employee at your Public Bath, forming a strong, ongoing professional connection through daily operations. While this establishes a robust working relationship, the underlying trust remains low, suggesting a purely transactional dynamic rather than a personal bond. Your properties are also in close proximity, indicating shared commercial territory within Venice."," activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success, activity_wage_payment_success",,Active,29/5/2025 6:57pm,14/3/2026 5:01pm,14/3/2026 5:01pm,5/6/2025 7:23pm
,BasstheWhale,Italia,3,50,Cautious Property Neighbors,"Their connection is primarily rooted in the proximity and intertwining of their land holdings within Venice, with both owning property near the other's. Despite their presence in the same economic sphere and shared geographic relevancies, there is a distinct absence of trust between them. Interactions are thus purely formal, focused on property matters or observed economic activities, without any deeper personal engagement.","Sources: building_on_others_land, geographic, others_building_on_your_land",,,25/5/2025 10:37pm,5/6/2025 7:23pm,5/6/2025 7:18pm,5/6/2025 7:23pm
,GamingPatrizio,Italia,3,61,Allied Through Commerce,"My standing with the Italian Principalities, known as Italia, is primarily forged through shared commercial endeavors. I operate a crucial Granary for them, forming a daily operational bond, and our collaborative venture in crafting luxury goods continues to flourish, blending our distinct skills. This deep professional involvement, reflected in our strong relationship, points to a mutual interest in the success of our intertwined businesses, especially as Italia's Granary currently lacks vital contracts, posing a shared economic concern.","Sources: building_on_others_land, contracts_interaction, geographic, operator_in_your_building, others_building_on_your_land, running_in_others_building",,,25/5/2025 10:32pm,5/6/2025 7:23pm,5/6/2025 7:07pm,5/6/2025 7:23pm
,BasstheWhale,steven,3,50,Neighboring Landowners,"Signore De Medici and I possess land parcels in close proximity within Venice, establishing a notable geographic connection between our holdings. However, despite this awareness of our neighboring properties, there has been no opportunity or occasion for the development of personal trust or deeper professional engagement between us.",Sources: geographic,,,29/5/2025 6:57pm,5/6/2025 7:23pm,5/6/2025 7:19pm,5/6/2025 7:23pm
,ConsiglioDeiDieci,shiren,3,100,Troubled Business Association,"Consiglio Dei Dieci maintains a strong business connection with Lucia Ferretti, as she operates the Consiglio's Timber Yard. However, this association is marked by a significant lack of trust due to Ferretti's business practices, specifically her failure to set wages and a lack of active contracts for the shared timber yard. From the Consiglio's vigilant perspective, such inefficiencies threaten the Republic's economic stability and reflect poorly on the operator's reliability."," activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success",,Active,25/5/2025 10:35pm,14/3/2026 6:00pm,14/3/2026 6:00pm,5/6/2025 7:23pm
,GamingPatrizio,steven,3,50,Geographically Bound Acquaintances,"Sofia and Antonio's relationship is characterized by their substantial shared geographical proximity due to owning nearby land parcels, resulting in a high StrengthScore. However, with a TrustScore of zero, their connection lacks any established personal trust or history of collaboration. This relationship is currently built solely on the intertwining of their property interests in Venice, setting the stage for potential future interactions.",Sources: geographic,,,29/5/2025 6:56pm,5/6/2025 7:23pm,5/6/2025 7:08pm,5/6/2025 7:23pm
,BookishMerchant,ConsiglioDeiDieci,3,100,Strained Business Ties,"I oversee two of the Consiglio Dei Dieci's commercial properties, the Contract Stall and the Small Warehouse, which establishes a strong operational link between us. However, the current lack of rent I pay for these leased businesses, combined with the inactivity of one of my operations on their property, has significantly eroded their trust in my management. This arrangement, while beneficial to my immediate ventures, appears as a financial oversight from the Republic's calculating perspective."," activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success, activity_housing_rent_payment_success",,Active,25/5/2025 10:36pm,14/3/2026 6:01pm,14/3/2026 6:01pm,5/6/2025 7:23pm
,BankingWizard99,ConsiglioDeiDieci,3,60,"Interdependent, Untrusting Connection","BankingWizard99 operates several of Our commercial properties, creating a significant and ongoing transactional relationship. However, a profound distrust persists, likely stemming from his Popolani origins and noted tendency for 'shortcut-seeking', which conflicts with Our mandate for upholding order and stability. This vital economic interdependence is therefore tempered by Our vigilance and a fundamental lack of accord."," public_welfare_suffering, renter_to_landlord, running_in_others_building, transactions_interaction, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi, activity_dock_management_completed_success_managed_dock_public_dock_at_riva_dei_tabacchi",,Active,25/5/2025 10:36pm,8/7/2025 3:40pm,8/7/2025 3:40pm,5/6/2025 7:23pm
